English,Nepali
Abiotic,Abiotic
Abortive,Abortive
Abrasion,घर्षण
Abscess,विद्रधि
Aches & Pain,दुखाइ र दुखाइ
Acne,मुखासे
Acupressure,एक्यूप्रेशर
Acupunture,Acupunture
Acute,तीव्र
Acute Respiratory Stress Syndrome (ARDS),तीव्र श्वसन तनाव सिंड्रोम (ARDS)
Addiction,लत
Adernaline,Adernaline
Aerobic,एरोबिक
Airborne,ड्रम
Alzheimer's,अल्जाइमरको
Ambulatory,हिड
Amnesia,स्मृति लोप
Anaerobic,Anaerobic
Anemia,रक्तअल्पता
Anesthesia,एनेस्थेसिया
Angina,एनजाइना
Antibiotics,एन्टिबायोटिक
Antibodies,एंटीबडी
Antidepressent,Antidepressent
Antigen,प्रतिजन
antiinflammatory,antiinflammatory
antimicrobial,रोगाणुरोधी
Antinuclear Antibody Test,Antinuclear एंटीबडी परीक्षण
Antiobiotic Resistance,Antiobiotic प्रतिरोध
Antioxident,Antioxident
Antiviral,Antiviral
Anxiety,फिक्री
Aortic dissection,Aortic dissection
arthritis,गठिया
Aspirin,एस्पिरिन
Asthma,अस्थमा
Asymptomatic,Asymptomatic
Athlete’s foot,खेलाडी गरेको खुट्टा
Atrial fibrillation,आलिन्द fibrillation
Autoimmune Disease,autoimmune रोग
Autonomic Nervous System,Autonomic स्नायु प्रणाली
Autopsy,शव परीक्षा
Avoid Touching,जोगिन छोएर
Avoid Travel,यात्रा जोगिन
Bat-Borne Virus,ब्याट-Borne भाइरस
Benign,सौम्य
Biopsy,बायोप्सी
BiPAP Machine,BiPAP मिसिन
Blood culture,रगत संस्कृति
Blood gas,रगत ग्याँस
Blood Pressure,रक्तचाप
Blood swab,रगत swab
Blood Vessel,रक्त वाहिनी
Blood Vessels,रक्त नली
Botox,बोटक्स
Bowel disimpaction,आंत्र disimpaction
Brain Imaging,मस्तिष्क इमेजिङ
C-section,सी-खण्ड
Calcium,क्यालसियम
Calorie,क्यालोरी
Cancer,क्यान्सर
Carbohydrate,कार्बोहाइड्रेट
cardiac,हृदय
Cardiac Arrest,हृदयघात
cardiological,cardiological
cardiorespiratory,cardiorespiratory
cardiovascular,हृदय
Cardiovascular Complications,हृदय जटिलताहरू
Cardiovascular System,हृदय प्रणाली
Cartilage,उपास्थि
Case fatality rate,मामला fatality दर
Case fatality rate (CFR),मामला fatality दर (CFR)
Case Management,मामला व्यवस्थापन
